ciphertext,predicted_key_length,correct_key_length,predicted_key,correct_key
NSGNU TEUVRTTV FAZCS LQIJZ JZKTPVPA,8,8,FDEAHCOZ,REPCRYWO
FPWCR RIPNM HZDMYD YZYYCS BQUMT TWUBQA DNGVJL HRHJESWY,8,8,NFUJJXCC,JBFROFUM
KYTJI YFKJN XJINF WYDQ BLTCW KYTJI XZZCXUWB XZZCXUWB EZIFOH UVVYHL,8,8,YKQFXCRT,YKQFXCRT
AMVATI HTFL VGEQJ GBBSST VNKLXD OOVT IVXT YZRGE UTXAAY DAMMJR PACZF,9,9,LOCTFVETM,LOCTFVETM
ICSSDH SIGPK MULOO BYVBHC CQZU SJSXUH ZZQBJ WLAGUX QRCKT ICSSDH JUWL,6,6,GUDLZQ,GUDLZQ
HLESG TPFGA NCYBM AJAFZ CBMZJ JPRZI QMOEPB YXUO CBMZJ ABHV JPRZI WWBBOSMB,4,4,KATO,VXBO
FCHQB KMZJY UMNQQ FCHQB FCHQB KMZJY AGLMRP TELRLCNJ QYRW MRJJK INRY ITQCJ ZFGY,5,5,YYWFN,YYWFN
BDIOS BDIOS MTCOD AXXHCJGV KTQAF YXLTEHGJ BFGTQ SRWP RDUHA RDUHA RDUHA HXGKTW LFUAI,1,5,F,FPRDP
NEHALN TOUXKEPK JBDELKFX AARG AHAEJ SCWBL UUFEA,6,6,YGOTXA,YGOTXA
OTJOV SYWH WCOSD TLNTLHYT ALWWCU,4,4,HPYD,HPYD
BTIPMV WCLM XXXFMK JWXGD KGXAGJ YJSMJ LTVS YJSMJ,9,9,MVPIYITCS,MVPIYITCS
MXQABJ GPQZ EXYHR LLQIW JKUAA CXMN DHAIN EXYHR,8,8,PPRNMYOI,XZXTNWDP
YCWICNCG WBNXSC MLVH PITIA QPNSR PYKTWPTL FCFLTA NKWKYH TNCSQU PITIA ETILQYHI LXCNK FCFLTA NKWKYH,9,9,DUQEPJLCH,DUQEPJLCH
UWDEE YMOMNEKH LMTLO IBXPWN MHGIT DIGXQIZM HEEOS UWDEE YMOMNEKH HIBA PRWLWV PYMKSV XYTARR UWDEE ZSZT,7,7,IIAATDE,IIAATDE
WJMPO KNHINTWF GIEMFV VXLFREGJ QCTWTO GIEMFV MDIFP CXUIIR RNQLEG BPVLS UZXHDS IILAT NSDTQ WMGTSFVE,5,5,PFBEA,PFBEA
XVDY AIYOJ JCBOLSLZ RCZFJ GMFFY WMRYG FGUYIOPS JTDFCH HYBSF,5,5,XZOFB,UVKYO
PCCUYE PCCUYE QUGN JLGBBA XNGU,3,3,NUN,NUN
